title,paiming,uri,lat,lng,recommend_price,hotel_address,hotel_star,hotel_city,hotel_section,price_range,avg_rating,comment_count,offical_img_uri,facility,room,agoda_price,gmap_lat,gmap_lng
嘉義背包客五樓趣,嘉義排名第 55 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808399-d5776840-Reviews-Chiayi_Five_Floor_Fun_Backpacker_Hostel-West_District_Chiayi.html,23.481399536132812,120.4449691772461,,西區西榮街278號,,嘉義,西區,"NT$400 - NT$1,200",5.0,13,https://media-cdn.tripadvisor.com/media/photo-s/09/b8/11/b0/caption.jpg,"空調設施, 冰箱","免費高速上網 (WiFi), 免費網際網路, 無線網路, 公用無線網路, 網際網路, 允許攜帶寵物 (可帶狗/寵物)",,23.4814,120.44497
常春藤汽車旅館,嘉義排名第 56 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808399-d7645952-Reviews-Ivy_Motel-West_District_Chiayi.html,23.48801040649414,120.4267578125,"NT$1,108",西區四維路313號,4.0,嘉義,西區,"NT$1,267 - NT$1,267",4.0,3,https://media-cdn.tripadvisor.com/media/partner/bookingcom/photo-s/16/c9/bf/c7/facadeentrance.jpg,,,,23.48801,120.42676
嘉義凱特居家住宿,嘉義排名第 57 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808399-d15212884-Reviews-Chiayi_Kate_House-West_District_Chiayi.html,23.47747039794922,120.4298324584961,"NT$1,281",高鐵大道99號,2.0,嘉義,西區,"NT$1,453 - NT$2,936",4.0,1,https://media-cdn.tripadvisor.com/media/partner/bookingcom/photo-s/16/aa/d2/9d/3894024.jpg,,,,23.47747,120.42983
嘉新大飯店,嘉義排名第 58 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808399-d11890916-Reviews-Jia_Xin_Hotel-West_District_Chiayi.html,23.478378295898438,120.4423599243164,NT$779,中正路685號,3.0,嘉義,西區,"NT$896 - NT$1,422",4.0,1,https://media-cdn.tripadvisor.com/media/partner/bookingcom/photo-s/16/d1/47/23/facadeentrance.jpg,,,,23.478378,120.44236
樂活507,嘉義排名第 59 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808399-d12474510-Reviews-Lohas_507-West_District_Chiayi.html,23.479358673095703,120.44464111328125,,西區中山路507號,3.0,嘉義,西區,"NT$1,174 - NT$3,832",4.0,1,https://media-cdn.tripadvisor.com/media/partner/bookingcom/photo-s/16/d0/1b/d3/2295371.jpg,,,,23.479359,120.44464
麗景精品休閒旅館,嘉義排名第 60 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806498-d7645937-Reviews-Li_Gin_Motel-East_District_Chiayi.html,23.492109298706055,120.4540786743164,"NT$1,212",東區嘉南街137號,3.5,嘉義,東區,"NT$1,329 - NT$2,751",3.5,2,https://static.tacdn.com/img2/branding/rebrand/TA_brand_logo.png,,,,23.49211,120.45408
王子去旅行,嘉義排名第 61 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808399-d7227439-Reviews-Prince_To_Travel_Hotel-West_District_Chiayi.html,23.476551055908203,120.44329071044922,NT$842,西門街101號,3.0,嘉義,西區,"NT$896 - NT$2,009",3.0,19,https://media-cdn.tripadvisor.com/media/photo-s/07/ba/e4/d9/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 冰箱","免費停車, 免費高速上網 (WiFi), 免費網際網路, 無線網路, 提供早餐, 允許攜帶寵物 (可帶狗/寵物), 提供上網服務的商務中心, 禁菸飯店, 公用無線網路, 網際網路",,23.476551,120.44329
義興旅館,嘉義排名第 62 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808399-d2013729-Reviews-Yes_Hotel-West_District_Chiayi.html,23.478513717651367,120.44215393066406,NT$642,西區中正路730號,3.0,嘉義,西區,"NT$804 - NT$1,638",3.0,11,https://media-cdn.tripadvisor.com/media/photo-s/0f/60/fd/7e/caption.jpg,"禁菸客房, 套房, 空調設施, 客房服務","免費停車, 免費高速上網 (WiFi), 免費網際網路, 無線網路, 公用無線網路, 網際網路, 禁菸飯店",,23.478514,120.442154
榮宮大飯店,嘉義排名第 63 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808399-d7229114-Reviews-Ron_Gong_Hotel-West_District_Chiayi.html,23.475830078125,120.44331359863281,NT$519,西門街77號,,嘉義,西區,"NT$587 - NT$1,267",3.0,10,https://media-cdn.tripadvisor.com/media/partner/bookingcom/photo-s/18/fc/fb/5d/bed.jpg,套房,"免費停車, 免費高速上網 (WiFi), 免費網際網路, 無線網路, 網際網路, 允許攜帶寵物 (可帶狗/寵物)",,23.47583,120.44331
波士頓大飯店,嘉義排名第 64 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808399-d7133821-Reviews-Boston_Hotel-West_District_Chiayi.html,23.480419158935547,120.46318054199219,NT$606,東區中正路673號,3.0,嘉義,西區,"NT$680 - NT$1,422",3.0,11,https://media-cdn.tripadvisor.com/media/partner/bookingcom/photo-s/19/00/1e/18/bed.jpg,,,,23.48042,120.46318
優仕大飯店,嘉義排名第 65 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808399-d4473445-Reviews-Unic_Hotel-West_District_Chiayi.html,23.48307991027832,120.43108367919922,"NT$1,458",西區八德路40號,3.0,嘉義,西區,"NT$1,669 - NT$2,967",2.0,1,https://static.tacdn.com/img2/branding/rebrand/TA_brand_logo.png,,,,23.48308,120.43108
金龍海悅大飯店,嘉義排名第 66 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808399-d1907316-Reviews-Gene_Long_Haiy_Att_Hotel-West_District_Chiayi.html,23.47718048095703,120.44658660888672,NT$736,西區民生北路130號,3.0,嘉義,西區,"NT$742 - NT$2,194",2.5,9,https://media-cdn.tripadvisor.com/media/daodao/photo-s/01/c3/b1/15/caption.jpg,"家庭房, 空調設施","免費高速上網 (WiFi), 免費網際網路, 無線網路, 公用無線網路, 網際網路, 餐廳, 禮賓服務",,23.47718,120.44659
大三通大飯店,嘉義排名第 67 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808399-d2204877-Reviews-Da_San_Tong_Hotel-West_District_Chiayi.html,23.47797966003418,120.4413070678711,NT$771,中山路621號,3.0,嘉義,西區,"NT$865 - NT$2,194",1.5,6,https://media-cdn.tripadvisor.com/media/photo-s/01/ee/e7/66/caption.jpg,,,,23.47798,120.44131
御花園商務汽車旅館 - 嘉義館,嘉義排名第 68 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808399-d7659516-Reviews-Royal_Garden_Business_Motel_Chiayi-West_District_Chiayi.html,23.490989685058594,120.42809295654297,"NT$1,905",西區世賢路一段718號,4.0,嘉義,西區,"NT$2,163 - NT$2,565",,,,,,"NT$1,905",23.49099,120.42809
香湖國際大飯店,嘉義排名第 69 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808399-d2629845-Reviews-Shianghu_Boutique_Hotel-West_District_Chiayi.html,23.479930877685547,120.43589782714844,,友忠路559號,,嘉義,西區,"NT$1,051 - NT$3,245",3.0,6,https://static.tacdn.com/img2/branding/rebrand/TA_brand_logo.png,,,"NT$1,576",23.47993,120.4359
嘉義布袋光影民宿,嘉義排名第 70 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g297904-d12171581-Reviews-Light_Shadow_Budai_Chiayi-Chiayi.html,23.481544494628906,120.44915771484375,NT$810,布袋鎮新南路117號,3.0,嘉義,嘉義的特色住宿,"NT$525 - NT$2,225",4.5,3,https://media-cdn.tripadvisor.com/media/photo-s/10/ce/8b/4d/caption.jpg,"家庭房, 空調設施, 衣架, 浴缸/淋浴間, 免費衛浴用品, 吹風機","附近有免費公共停車場, 免費高速上網 (WiFi), 機場接送, 行李存放, 禁菸飯店, 快速辦理入住/退房, 私人辦理入住/退房, 洗衣服務, 路邊停車, 停車, 巴士接駁服務, 共用廚房, 共用休息室/電視區, 日光露台",,,
風箏旅人,嘉義排名第 71 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808399-d11997745-Reviews-Kite_Hostel-West_District_Chiayi.html,23.465869903564453,120.41693878173828,NT$692,西區文化路195號,,嘉義,西區,"NT$773 - NT$2,380",3.0,7,https://media-cdn.tripadvisor.com/media/partner/bookingcom/photo-s/19/04/0e/e4/location.jpg,,,,23.481544,120.44916
水弄休閒旅館,嘉義排名第 72 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808399-d15125141-Reviews-Shui_Nong_Motel-West_District_Chiayi.html,23.47484016418457,120.4527587890625,"NT$1,974",大仁街76號,4.0,嘉義,西區,"NT$1,947 - NT$2,936",,,,,,,23.46587,120.41694
拉瓦.宅,嘉義排名第 73 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806498-d12963052-Reviews-Lawa_House-East_District_Chiayi.html,23.480880737304688,120.44523620605469,NT$728,東區成仁街253號,2.5,嘉義,東區,"NT$804 - NT$2,658",5.0,1,https://media-cdn.tripadvisor.com/media/photo-s/13/d3/45/f6/caption.jpg,空調設施,"免費高速上網 (WiFi), 免費網際網路, 無線網路, 公用無線網路, 網際網路, 自助式洗衣",,23.47484,120.45276
豐賓山莊,嘉義排名第 74 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g297904-d4583365-Reviews-Fongbin_Inn-Chiayi.html,23.480419158935547,120.46318054199219,"NT$1,192",阿里山豐山村2鄰21號,,嘉義,嘉義的特色住宿,"NT$1,360 - NT$1,793",1.0,1,https://media-cdn.tripadvisor.com/media/photo-s/0d/d9/c9/58/photo0jpg.jpg,"家庭房, 遮光窗簾, 書桌, 客房服務, 浴缸/淋浴間, 免費衛浴用品, 吹風機","附近有免費私人停車場, 免費高速上網 (WiFi), 餐廳, 卡拉 OK, 允許攜帶寵物 (可帶狗/寵物), 機場接送, 行李存放, 禁菸飯店, 安全停車, 停車, 無線網路, 網際網路, 巴士接駁服務, 快速辦理入住/退房",,,
嘉義慢漫民宿,嘉義排名第 75 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808399-d13156493-Reviews-Take_Easy_Hostel-West_District_Chiayi.html,23.475740432739258,120.47737121582031,"NT$1,121",西區民生北路245巷23號,3.0,嘉義,西區,"NT$1,267 - NT$1,793",,,,,,,23.48088,120.44524
小房子 背包客棧,嘉義排名第 76 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806498-d12434884-Reviews-Little_House-East_District_Chiayi.html,23.477449417114258,120.45274353027344,,西區中正路504號,2.0,嘉義,東區,NT$340 - NT$587,5.0,2,https://media-cdn.tripadvisor.com/media/photo-s/18/48/46/da/2f.jpg,,,,23.48042,120.46318
兰潭泛月文旅,嘉義排名第 77 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806498-d17487488-Reviews-Lantan_Fanyue_Inn-East_District_Chiayi.html,23.485149383544922,120.48149871826172,,潭顶路82号 5楼,2.0,嘉義,東區,"NT$1,669 - NT$3,616",,,,,,,23.47574,120.47737
嘉義市一間老屋旅店,嘉義排名第 78 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806498-d11911239-Reviews-The_Old_House_Chiayi_B_B-East_District_Chiayi.html,23.482315063476562,120.4500732421875,"NT$1,723",成仁街68巷3號,2.0,嘉義,東區,"NT$1,947 - NT$3,091",,,,,,,23.47745,120.45274
