username,profile_uri,comment_date,hotel_name,UID
 xum111台灣嘉義2, ,住宿日期： 2019年4月,松哖酒店 (大安) Sonnien Hotel,UID_56A578F11C5020D3C5800D2F54AF5E48-SRC_667540725
 lookingaroundfornow加拿大多倫多25289, ,,台北商旅大安館 Les Suites Taipei Da-An,UID_6E555894D2BD55F94806971913A5387F-SRC_673934833
 yoyo0130香港51, ,,台北商旅大安館 Les Suites Taipei Da-An,UID_66B85016EA1DAAE929CE0C55A8FB35A8-SRC_659328002
 j26101538991, ,住宿日期： 2019年2月,台北商旅大安館 Les Suites Taipei Da-An,UID_5706DBE537BE9DCB2720C4E4780EA41F-SRC_650675463
 Brian F3, ,,台北商旅大安館 Les Suites Taipei Da-An,UID_B0CD4A5814DAE828C0887C4CE790E75A-SRC_649122178
 DeniseYing香港85, ,,台北商旅大安館 Les Suites Taipei Da-An,UID_335D2B2F0470B49563329DB32FF7B75A-SRC_642808901
TripAdvisor 會員,https://www.tripadvisor.com.tw,8月8日,儷客旅店 - 台北車站館 (中正區)Click Hotel - Taipei Main Station Branch, 
Chi Keung S,https://www.tripadvisor.com.tw/Profile/ChiKeungS5,8月7日,儷客旅店 - 台北車站館 (中正區)Click Hotel - Taipei Main Station Branch, 
Alvinyan1023,https://www.tripadvisor.com.tw/Profile/alvinyan1023,2019年7月,儷客旅店 - 台北車站館 (中正區)Click Hotel - Taipei Main Station Branch, 
hihi1212yeahyeah,https://www.tripadvisor.com.tw/Profile/hihi1212yeahyeah,2019年7月,儷客旅店 - 台北車站館 (中正區)Click Hotel - Taipei Main Station Branch, 
middamy,https://www.tripadvisor.com.tw/Profile/middamy,2019年7月,儷客旅店 - 台北車站館 (中正區)Click Hotel - Taipei Main Station Branch, 
噹啃紅不嚷,https://www.tripadvisor.com.tw/Profile/Duncanwu,8月12日,福泰桔子商務旅館 - 館前店 (中正區)Orange Hotel - Guanqian, 
Crystal L,https://www.tripadvisor.com.tw/Profile/579crystall,8月12日,福泰桔子商務旅館 - 館前店 (中正區)Orange Hotel - Guanqian, 
uniandkuri,https://www.tripadvisor.com.tw/Profile/uniandkuri,2019年7月,福泰桔子商務旅館 - 館前店 (中正區)Orange Hotel - Guanqian, 
Ken,https://www.tripadvisor.com.tw/Profile/chan_kin_ip,2019年7月,福泰桔子商務旅館 - 館前店 (中正區)Orange Hotel - Guanqian, 
cindra,https://www.tripadvisor.com.tw/Profile/cindra65,2019年7月,福泰桔子商務旅館 - 館前店 (中正區)Orange Hotel - Guanqian, 
Dave In Osaka,https://www.tripadvisor.com.tw/Profile/Daveinosaka,2019年4月,天閣酒店 - 台北南西 (中山區)THE Tango Taipei NanShi, 
Andrew Wu,https://www.tripadvisor.com.tw/Profile/AndrewWu1977,2019年4月,天閣酒店 - 台北南西 (中山區)THE Tango Taipei NanShi, 
jakep454,https://www.tripadvisor.com.tw/Profile/jakep454,2019年3月,天閣酒店 - 台北南西 (中山區)THE Tango Taipei NanShi, 
Erick T,https://www.tripadvisor.com.tw/Profile/759erickt,2019年2月,天閣酒店 - 台北南西 (中山區)THE Tango Taipei NanShi, 
pams1122014,https://www.tripadvisor.com.tw/Profile/pams1122014,2018年11月,天閣酒店 - 台北南西 (中山區)THE Tango Taipei NanShi, 
floral104,https://www.tripadvisor.com.tw/Profile/floral104,2019年7月,三二行館 (北投)Villa 32, 
lwh,https://www.tripadvisor.com.tw/Profile/lwh168,2019年7月,三二行館 (北投)Villa 32, 
Michael Z,https://www.tripadvisor.com.tw/Profile/MichaelZ1135,2019年5月,三二行館 (北投)Villa 32, 
Carol,https://www.tripadvisor.com.tw/Profile/CarolChen1227,2019年5月,三二行館 (北投)Villa 32, 
Sylvia,https://www.tripadvisor.com.tw/Profile/sylviang15,2019年4月,三二行館 (北投)Villa 32, 
chihsia,https://www.tripadvisor.com.tw/Profile/chihsia,2019年7月,華泰王子大飯店 (中山區)GLORIA PRINCE HOTEL Taipei, 
edward,https://www.tripadvisor.com.tw/Profile/edwardcute,2018年12月,華泰王子大飯店 (中山區)GLORIA PRINCE HOTEL Taipei, 
Nikki H,https://www.tripadvisor.com.tw/Profile/nikkih35,2018年12月,華泰王子大飯店 (中山區)GLORIA PRINCE HOTEL Taipei, 
Herman_Chang,https://www.tripadvisor.com.tw/Profile/Herman_Chang,2018年11月,華泰王子大飯店 (中山區)GLORIA PRINCE HOTEL Taipei, 
Companion821009,https://www.tripadvisor.com.tw/Profile/Companion821009,2018年10月,華泰王子大飯店 (中山區)GLORIA PRINCE HOTEL Taipei, 
 khiak紐約州紐約市51, ,,建山大旅社 (大同) Jian Shan Hotel,UID_35F1FBB6D59731DA0819D073D669A6D4-SRC_613453845
" Milena CKuala Lumpur, Wilayah Persekutuan, Malaysia92", ,,建山大旅社 (大同) Jian Shan Hotel,UID_81E288AC30FF2191AF40E940A5E773ED-SRC_587380380
 cottontailrabbit香港11328, ,住宿日期： 2018年1月,建山大旅社 (大同) Jian Shan Hotel,UID_08454968C234EC08C0E8010CA07F0353-SRC_558112525
 Chiafong台灣台北171, ,住宿日期： 2017年10月,建山大旅社 (大同) Jian Shan Hotel,UID_33C36A48D1FF8E9696E045BAFB42E54D-SRC_536046348
 DayTrip810688台灣花蓮133, ,住宿日期： 2017年7月,建山大旅社 (大同) Jian Shan Hotel,UID_A5A63EAF5873FF5A05B13B64AE21277C-SRC_498048139
 dawarwad1, ,住宿日期： 2019年7月,太空艙-信義館 (信義區) Space Inn Xinyi,UID_23AE06DF3801E94AE00C5455B437C615-SRC_694845729
 FrequentFlier4726511, ,住宿日期： 2019年7月,太空艙-信義館 (信義區) Space Inn Xinyi,UID_E4CD3735CBAB06CAE7764CF21424EFE0-SRC_691200899
 titanchen1231, ,住宿日期： 2019年7月,太空艙-信義館 (信義區) Space Inn Xinyi,UID_5217787BDA89788867DD18DEC8512FCD-SRC_690669981
 supercoody1, ,住宿日期： 2019年7月,太空艙-信義館 (信義區) Space Inn Xinyi,UID_04534D0DED39F80D43D364103F260660-SRC_690669805
 AllenLin12211, ,住宿日期： 2019年7月,太空艙-信義館 (信義區) Space Inn Xinyi,UID_20C0F151CF2C935A98FD745537E5A964-SRC_690669495
 leafmoony台灣台中1, ,住宿日期： 2019年8月,悠逸行旅 (中正區) Uinn Travel Hostel,UID_98A953CFBD2363D4EEFC716712CCC7DE-SRC_697441437
 CindyJhang台灣18961, ,住宿日期： 2019年5月,悠逸行旅 (中正區) Uinn Travel Hostel,UID_AEB40253BC670B0DE135714A73E59D3B-SRC_697268055
 kevinhappyworld1, ,住宿日期： 2019年8月,悠逸行旅 (中正區) Uinn Travel Hostel,UID_26CC227C0ECD1764ADE0E77D86DB1807-SRC_697175514
 kingraying台灣永康1, ,住宿日期： 2019年7月,悠逸行旅 (中正區) Uinn Travel Hostel,UID_E6D7DA4A8CB742A07E4B69C812370052-SRC_696603850
 jeado08151, ,住宿日期： 2019年8月,悠逸行旅 (中正區) Uinn Travel Hostel,UID_566C694439B06667520125195F7BD625-SRC_694879869
" y2keikoHong Kong Region, China3", ,住宿日期： 2019年8月,福泰桔子商務旅館 - 開封店 (中正區) Orange Hotel - Kaifong,UID_B61728AA0A6C910591D76970E4591305-SRC_696434281
 PollyChansiupo1, ,住宿日期： 2019年7月,福泰桔子商務旅館 - 開封店 (中正區) Orange Hotel - Kaifong,UID_C2F353B4D0932662614710A31F7425AE-SRC_691166979
 chensuper1, ,住宿日期： 2019年7月,福泰桔子商務旅館 - 開封店 (中正區) Orange Hotel - Kaifong,UID_068105674B518D062560ECF0E5B52E6C-SRC_690385855
 CT8010501, ,住宿日期： 2019年6月,福泰桔子商務旅館 - 開封店 (中正區) Orange Hotel - Kaifong,UID_2AA7183EE662482755D296923E93881D-SRC_685325449
 leong01861, ,住宿日期： 2019年5月,福泰桔子商務旅館 - 開封店 (中正區) Orange Hotel - Kaifong,UID_E5553D8126FB8269E2CCF18BD4B696C2-SRC_673829272
