title,paiming,recommend_price,uri,hotel_address,avg_rating,comment_count,offical_img_uri,facility,property,agoda_price
路徒行旅,"台北排名第 29 的超值住宿地點，共 1,199 家","NT$1,680",https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d10125458-Reviews-Roaders_Hotel-Zhongzheng_District_Taipei.html,中正區延平南路68號 漢口街延平南路口,4.5,240,https://media-cdn.tripadvisor.com/media/photo-s/0a/bf/82/a6/getlstd-property-photo.jpg,"['禁菸客房', '套房', '家庭房', '空調設施', '冰箱', '平板電視']","['免費高速上網 (WiFi)', '免費網際網路', '無線網路', '有健身房的健身中心', '兒童活動 (適合兒童/家庭)', '禁菸飯店', '洗衣服務', '自助式洗衣']","NT$1,767"
華泰王子大飯店,"台北排名第 30 的超值住宿地點，共 1,199 家","NT$2,383",https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d301400-Reviews-GLORIA_PRINCE_HOTEL_Taipei-Zhongshan_District_Taipei.html,中山區林森北路369號,4.0,496,https://media-cdn.tripadvisor.com/media/photo-s/13/68/7a/1d/exterior-view.jpg,"['禁菸客房', '套房', '家庭房', '空調設施', '客房服務', '迷你吧', '冰箱', '平板電視']","['免費高速上網 (WiFi)', '有健身房的健身中心', '浴缸', '酒吧/酒廊', '機場接送', '提供上網服務的商務中心', '會議設施', '禮賓服務']",
北投麗禧溫泉酒店,"台北排名第 31 的超值住宿地點，共 1,199 家","NT$4,400",https://www.tripadvisor.com.tw/Hotel_Review-g13806427-d2095241-Reviews-Grand_View_Resort_Beitou-Beitou_Taipei.html,北投區幽雅路30號,4.5,869,https://media-cdn.tripadvisor.com/media/photo-s/0d/a5/0b/40/caption.jpg,"['禁菸客房', '套房', '家庭房', '空調設施', '私人陽台', '客房服務', '迷你吧', '平板電視']","['免費停車', '免費高速上網 (WiFi)', '游泳池', '有健身房的健身中心', '免費早餐', '免費接駁或計程車服務', '提供上網服務的商務中心', '會議設施']","NT$5,500"
新驛旅店 - 台北車站三館,"台北排名第 32 的超值住宿地點，共 1,199 家","NT$9,832",https://www.tripadvisor.com.tw/Hotel_Review-g13806451-d1950018-Reviews-CityInn_Hotel_Taipei_Station_Branch_III-Datong_Taipei.html,長安西路77號,4.5,1481,https://media-cdn.tripadvisor.com/media/photo-s/0d/b8/db/52/cityinn-hotel-taipei.jpg,"['禁菸客房', '家庭房', '空調設施', '房務', '保險箱', '冰箱', '平板電視']","['免費高速上網 (WiFi)', '免費網際網路', '機場接送', '禮賓服務', '禁菸飯店', '乾洗服務', '洗衣服務', '自助式洗衣']","NT$10,847"
Home Hotel 大安,"台北排名第 33 的超值住宿地點，共 1,199 家","NT$1,317",https://www.tripadvisor.com.tw/Hotel_Review-g13811269-d7997174-Reviews-Home_Hotel_DaAn-Da_an_Taipei.html,大安區復興南路一段219-2號,4.5,351,https://media-cdn.tripadvisor.com/media/photo-s/16/ba/75/b0/home-hotel.jpg,"['禁菸客房', '套房', '家庭房', '空調設施', '私人陽台', '冰箱', '平板電視']","['免費停車', '停車', '免費高速上網 (WiFi)', '酒吧/酒廊', '禮賓服務', '禁菸飯店', '乾洗服務', '洗衣服務']","NT$1,870"
丹迪旅店 - 天津店,"台北排名第 34 的超值住宿地點，共 1,199 家","NT$3,364",https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d1066078-Reviews-Dandy_Hotel_Tianjin_Branch-Zhongshan_District_Taipei.html,中山區天津街70號,4.5,1066,https://media-cdn.tripadvisor.com/media/photo-s/0d/b8/ff/e2/caption.jpg,,,"NT$3,532"
台北西門町意舍,"台北排名第 35 的超值住宿地點，共 1,199 家","NT$2,092",https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d2347774-Reviews-Amba_Taipei_Ximending-Wanhua_Taipei.html,武昌街二段77號1樓、5樓-10樓,4.5,933,https://media-cdn.tripadvisor.com/media/photo-s/12/cf/10/21/newly-refurbished-medium.jpg,"['禁菸客房', '家庭房', '空調設施', '房務', '衣櫃/壁櫥', '迷你吧', '第四台/衛星電視', '步入式淋浴間']","['現場付費公共停車場', '免費高速上網 (WiFi)', '酒吧/酒廊', '嬰兒推車', '包車', '傳真/影印', '禮賓服務', '禁菸飯店']","NT$2,338"
台北W飯店,"台北排名第 36 的超值住宿地點，共 1,199 家","NT$4,458",https://www.tripadvisor.com.tw/Hotel_Review-g13808515-d1879542-Reviews-W_Taipei-Xinyi_District_Taipei.html,忠孝東路五段10號 Metro Station: Taipei City Hall - Exit 2,4.5,3346,https://media-cdn.tripadvisor.com/media/photo-s/18/93/43/dc/exterior.jpg,"['禁菸客房', '套房', '家庭房', '空調設施', '房務', '客房服務', '迷你吧', '平板電視']","['免費停車', '免費高速上網 (WiFi)', '游泳池', '有健身房的健身中心', '酒吧/酒廊', '夜店/ DJ', '兒童可享免費住宿', '機場接送']","NT$4,001"
方舟旅店 - 長安復興,"台北排名第 37 的超值住宿地點，共 1,199 家","NT$3,374",https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d8553817-Reviews-Ark_Hotel_Chang_an_Fuxing-Zhongshan_District_Taipei.html,中山區長安東路二段246號3樓,4.5,267,https://media-cdn.tripadvisor.com/media/photo-s/0a/9a/80/63/caption.jpg,"['禁菸客房', '家庭房', '空調設施', '微波爐', '冰箱']","['免費高速上網 (WiFi)', '免費網際網路', '無線網路', '機場接送', '禮賓服務', '禁菸飯店', '洗衣服務', '自助式洗衣']","NT$3,359"
丰居旅店西門館,"台北排名第 38 的超值住宿地點，共 1,199 家","NT$8,955",https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d3134481-Reviews-Via_Hotel-Wanhua_Taipei.html,中華路一段114巷17號2樓,4.5,731,https://media-cdn.tripadvisor.com/media/photo-s/12/66/3d/90/traveler-s-living-room.jpg,"['禁菸客房', '家庭房', '空調設施', '冰箱', '平板電視']","['免費高速上網 (WiFi)', '免費網際網路', '無線網路', '公用無線網路', '網際網路', '禁菸飯店', '洗衣服務', '自助式洗衣']","NT$9,000"
新尚旅店,"台北排名第 39 的超值住宿地點，共 1,199 家","NT$1,368",https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d1191387-Reviews-Hotel_73-Zhongzheng_District_Taipei.html,中正區信義路二段73號,4.5,1271,https://media-cdn.tripadvisor.com/media/photo-s/13/2a/f9/4a/caption.jpg,,,
信星旅馆 - 台北車站,"台北排名第 40 的超值住宿地點，共 1,199 家","NT$3,359",https://www.tripadvisor.com.tw/Hotel_Review-g13806451-d6925013-Reviews-Star_Hostel_Taipei_Main_Station-Datong_Taipei.html,大同區華陰街50號4樓,4.5,409,https://media-cdn.tripadvisor.com/media/photo-s/10/1e/51/bf/photo0jpg.jpg,"['禁菸客房', '家庭房', '空調設施', '小廚房']","['免費高速上網 (WiFi)', '免費網際網路', '無線網路', '公用無線網路', '免費早餐', '禁菸飯店', '洗衣服務', '自助式洗衣']","NT$3,359"
台北王朝大酒店,"台北排名第 41 的超值住宿地點，共 1,199 家","NT$1,560",https://www.tripadvisor.com.tw/Hotel_Review-g13806900-d306449-Reviews-Sunworld_Dynasty_Hotel_Taipei-Songshan_Taipei.html,松山區敦化北路100號,4.0,1109,https://media-cdn.tripadvisor.com/media/photo-s/15/28/83/10/sunworld-dynasty-hotel.jpg,"['禁菸客房', '套房', '家庭房', '空調設施', '客房服務', '迷你吧', '冰箱', '平板電視']","['免費停車', '免費高速上網 (WiFi)', '游泳池', '有健身房的健身中心', '餐廳', '機場接送', '提供上網服務的商務中心', '會議設施']","NT$1,757"
台北怡亨酒店,"台北排名第 42 的超值住宿地點，共 1,199 家","NT$2,041",https://www.tripadvisor.com.tw/Hotel_Review-g13811269-d1395608-Reviews-Hotel_Eclat_Taipei-Da_an_Taipei.html,大安區敦化南路一段370號,4.5,1176,https://media-cdn.tripadvisor.com/media/photo-s/17/2c/5a/6b/caption.jpg,,,
丰居旅店 - 台北車站館,"台北排名第 43 的超值住宿地點，共 1,199 家","NT$2,358",https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d8555273-Reviews-Via_Hotel_Taipei_Station-Zhongzheng_District_Taipei.html,重慶南路一段60號1-7樓,4.5,216,https://media-cdn.tripadvisor.com/media/photo-s/09/df/33/c5/getlstd-property-photo.jpg,,,"NT$2,357"
