userName,user_link,commented_hotel
Priscilla C,https://www.tripadvisor.com.tw/Profile/prischua,https://www.tripadvisor.com.tw/Hotel_Review-g13806427-d1993302-Reviews-Hotel_DOUBLE_ONE-Beitou_Taipei.html
EnzoJoseph,https://www.tripadvisor.com.tw/Profile/EnzoJoseph,https://www.tripadvisor.com.tw/Hotel_Review-g13806427-d1993302-Reviews-Hotel_DOUBLE_ONE-Beitou_Taipei.html
Joyce,https://www.tripadvisor.com.tw/Profile/Joyce8128,"https://www.tripadvisor.com.tw/Hotel_Review-g13806753-d8781562-Reviews-Amba_Taipei_Songshan-Nangang_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g294197-d3656150-Reviews-Nine_Tree_Hotel_Myeong_dong-Seoul.html, https://www.tripadvisor.com.tw/Hotel_Review-g13806886-d10446665-Reviews-Yun_Shan_Hai_B_B-Shoufeng_Hualien.html, https://www.tripadvisor.com.tw/Hotel_Review-g298570-d2306616-Reviews-Pullman_Kuala_Lumpur_Bangsar-Kuala_Lumpur_Wilayah_Persekutuan.html, https://www.tripadvisor.com.tw/Hotel_Review-g13811269-d7212348-Reviews-101_Amici_Hotel_Six_Star_Hostel-Da_an_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g294217-d3256888-Reviews-Ibis_Hong_Kong_Central_Sheung_Wan-Hong_Kong.html, https://www.tripadvisor.com.tw/Hotel_Review-g13792757-d2703201-Reviews-Park_City_Hotel_Central_Taichung-Central_District_Taichung.html"
88enjoytravel,https://www.tripadvisor.com.tw/Profile/88enjoytravel,"https://www.tripadvisor.com.tw/Hotel_Review-g13808515-d5283499-Reviews-Humble_House_Taipei-Xinyi_District_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d11704833-Reviews-Taiwan_Youth_Hostel_Capsule_Hotel-Zhongzheng_District_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g13806753-d8781562-Reviews-Amba_Taipei_Songshan-Nangang_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d2017876-Reviews-CityInn_Hotel_Plus_Ximending_Branch-Zhongzheng_District_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g188064-d228174-Reviews-Hotel_Monopol_Luzern-Lucerne.html, https://www.tripadvisor.com.tw/Hotel_Review-g188064-d6728237-Reviews-Hotel_Chateau_Guetsch-Lucerne.html, https://www.tripadvisor.com.tw/Hotel_Review-g1124758-d941761-Reviews-Hotel_Pilatus_Kulm-Kriens_Lucerne.html, https://www.tripadvisor.com.tw/Hotel_Review-g1124758-d16665627-Reviews-Holiday_Inn_Express_Luzern_Kriens-Kriens_Lucerne.html, https://www.tripadvisor.com.tw/Hotel_Review-g188064-d228150-Reviews-Hotel_Astoria-Lucerne.html, https://www.tripadvisor.com.tw/Hotel_Review-g580347-d252471-Reviews-Hotel_Rigi_Kaltbad-Rigi_Kaltbad.html"
liketravel,https://www.tripadvisor.com.tw/Profile/like_travel2009,
Colin1023,https://www.tripadvisor.com.tw/Profile/Colin1023,
Pui Kei,https://www.tripadvisor.com.tw/Profile/puikei2019,https://www.tripadvisor.com.tw/Hotel_Review-g13806753-d8781562-Reviews-Amba_Taipei_Songshan-Nangang_Taipei.html
David,https://www.tripadvisor.com.tw/Profile/dartnelljones,
Mary,https://www.tripadvisor.com.tw/Profile/marykuo,"https://www.tripadvisor.com.tw/Hotel_Review-g13811269-d301646-Reviews-United_Hotel-Da_an_Taipei.html, https://www.tripadvisor.com.tw/Restaurant_Review-g13806900-d6149964-Reviews-United_Hotel_Bei_Fu_Lou-Songshan_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g13806900-d308653-Reviews-Brother_Hotel_Taipei-Songshan_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g13806753-d15768537-Reviews-The_Place_Taipei-Nangang_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d12439218-Reviews-Caesar_Metro_Taipei-Wanhua_Taipei.html"
Cometfist,https://www.tripadvisor.com.tw/Profile/Cometfist,
netcattw,https://www.tripadvisor.com.tw/Profile/netcattw,"https://www.tripadvisor.com.tw/Hotel_Review-g297409-d17853271-Reviews-Ruiling_International_Hotel-Lanzhou_Gansu.html, https://www.tripadvisor.com.tw/Hotel_Review-g494940-d676634-Reviews-Qinghai_Hotel-Xining_Qinghai.html, https://www.tripadvisor.com.tw/Hotel_Review-g297409-d1416434-Reviews-Zugong_Building_Hotel-Lanzhou_Gansu.html"
簡爆屎,https://www.tripadvisor.com.tw/Profile/Getaway727845,
dyliz,https://www.tripadvisor.com.tw/Profile/dyliz,"https://www.tripadvisor.com.tw/Hotel_Review-g13806900-d633449-Reviews-Taipei_Fullerton_Hotel_Maison_North-Songshan_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g13806900-d12926686-Reviews-Artree_Hotel-Songshan_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g294229-d1156456-Reviews-Hotel_Indonesia_Kempinski-Jakarta_Java.html, https://www.tripadvisor.com.tw/Hotel_Review-g13808534-d1444084-Reviews-The_Hung_s_Mansion-Xitun_Taichung.html, https://www.tripadvisor.com.tw/Hotel_Review-g13806427-d6440283-Reviews-The_Gaia_Hotel_Taipei-Beitou_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g298460-d1925489-Reviews-Hotel_Elizabeth_Cebu-Cebu_City_Cebu_Island_Visayas.html, https://www.tripadvisor.com.tw/Hotel_Review-g616032-d1567933-Reviews-Hotel_Nicanor-Dumaguete_City_Negros_Oriental_Negros_Island_Visayas.html, https://www.tripadvisor.com.tw/Hotel_Review-g312693-d7180162-Reviews-Hyatt_Regency_Manila_City_of_Dreams-Paranaque_Metro_Manila_Luzon.html"
